,Mobile_name,Colour,Price,Rating,No_of_Ratings,RAM,ROM,Screen_size,Rear_Camera,Front_camera,Battery(mAh),Processor,Brand
1227,POCO X2 Special Edition ,Atlantis Blue,17499,4.5,5489,6,128,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1228,POCO X2 Special Edition ,Matrix Purple,18499,4.5,5489,6,128,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1229,POCO X2 Special Edition ,Phoenix Red,17499,4.5,5489,6,128,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1230,Samsung Galaxy S10 Plus ,Ceramic White,117990,4.5,23,12 ,512,16.26,16,10MP,4100,Exynos 9 9820 ,Samsung
1231,Samsung Galaxy Note 20 Ultra 5G ,Mystic Bronze,104999,4.5,141,12 ,256,17.53,108,10MP,4500,Exynos Octa Core ,Samsung
1232,Samsung Galaxy Note 20 Ultra 5G ,Mystic Black,104999,4.5,141,12 ,256,17.53,108,10MP,4500,Exynos Octa Core ,Samsung
1233,Samsung Galaxy Note 9 ,Ocean Blue,93000,4.6,228,8 ,512,16.26,12,8MP,4000,,Samsung
1234,Samsung Galaxy S20 Ultra ,Cosmic Gray,86999,4.3,86,12 ,128,17.53,108 ,40MP,5000,Exynos 990 ,Samsung
1235,Samsung Galaxy Note 9 ,Midnight Black,84900,4.6,228,8 ,512,16.26,12,8MP,4000,,Samsung
1236,Samsung Galaxy Note 20 ,Mystic Blue,77999,4.6,50,8 ,256,17.02,64,10MP,4300,Exynos Octa Core ,Samsung
1237,Samsung Galaxy Note 20 ,Mystic Green,77999,4.6,50,8 ,256,17.02,64,10MP,4300,Exynos Octa Core ,Samsung
1238,Samsung Galaxy Note 20 ,Mystic Bronze,77999,4.6,50,8 ,256,17.02,64,10MP,4300,Exynos Octa Core ,Samsung
1239,Samsung Galaxy S10 Plus ,Ceramic Black,73800,4.6,1197,8 ,512,16.26,16,10MP,4100,Exynos 9 9820 ,Samsung
1240,Samsung Galaxy Note 9 ,Ocean Blue,73645,4.6,2116,6 ,128,16.26,12,8MP,4000,,Samsung
1241,Samsung Galaxy Note 9 ,Metallic Copper,73600,4.6,2116,6 ,128,16.26,12,8MP,4000,,Samsung
1242,Samsung Galaxy S10 Plus ,Prism Blue,69990,4.6,1197,8 ,128,16.26,16,10MP,4100,Exynos 9 9820 ,Samsung
1243,Samsung Galaxy S20 ,Cloud Pink,68999,4.3,212,8 ,128,15.75,64,10MP,4000,Exynos 990 ,Samsung
1244,Samsung Galaxy Note 9 ,Midnight Black,67900,4.6,2116,6 ,128,16.26,12,8MP,4000,,Samsung
1245,Samsung Galaxy S8 Plus ,Midnight Black,66900,4.6,348,6 ,128,15.75,12,8MP,3500,Exynos 8895 Octa Core 2.3GHz ,Samsung
1246,Samsung Galaxy S10 Plus ,Prism White,64500,4.6,1197,8 ,128,16.26,16,10MP,4100,Exynos 9 9820 ,Samsung
1247,Samsung Galaxy Note 8 ,Midnight Black,59900,4.6,5590,6 ,64,16.0,12,8MP,3300,,Samsung
1248,Samsung Galaxy S20 ,Cloud Blue,59499,4.3,212,8 ,128,15.75,64,10MP,4000,Exynos 990 ,Samsung
1249,Samsung Galaxy S10 ,Prism Blue,57800,4.6,1754,8 ,128,15.49,16,10MP,3400,Exynos 9 9820 ,Samsung
1250,Samsung Galaxy Note 10 Plus ,Aura White,54999,4.6,2974,12 ,256,17.27,12,10MP,4300,,Samsung
1251,Samsung Galaxy Note 10 Plus ,Aura Glow,54999,4.6,2974,12 ,256,17.27,12,10MP,4300,,Samsung
1252,Samsung Galaxy Note 10 Plus ,Aura Black,54999,4.6,2974,12 ,256,17.27,12,10MP,4300,,Samsung
